ADDRESSBLOCK,ADDRESSROAD,ADDRESSSTREET,X,Y
640,,BUKIT BATOK CENTRAL,18912.7977,36824.7751
636,,BUKIT BATOK CENTRAL,18930.7522,36861.1985
53,HDB-QUEENSTOWN,STIRLING ROAD,24694.7438,31002.0877
459A,HDB-CLEMENTI HEIGHTS,CLEMENTI AVENUE 3,20645.2045,32654.8699
672A,,WOODLANDS DRIVE 71,24226.6881,46769.1536
546B,,WOODLANDS DRIVE 16,23525.2483,45667.942
463,,HOUGANG AVENUE 10,34860.8372,39373.8068
462,,HOUGANG AVENUE 10,34824.3716,39359.3344
179,,EDGEFIELD PLAINS,36414.4281,42380.1053
173,,PUNGGOL FIELD,36446.5097,42130.6908
391A,GOODVIEW GARDENS,BUKIT BATOK WEST AVENUE 5,18989.6782,38645.8103
96,HDB-BEDOK,BEDOK NORTH AVENUE 4,39909.803,35051.42
638A,,WOODLANDS RING ROAD,24644.4709,46466.2074
97,HDB-BEDOK,BEDOK NORTH AVENUE 4,39868.3712,35018.3559
176,,EDGEFIELD PLAINS,36439.8683,42233.7959
407C,,FERNVALE ROAD,32626.8328,41205.147
52A,SIMS VISTA,SIMS PLACE,33254.0345,33155.7784
830A,,HOUGANG CENTRAL,34381.6556,39206.6502
462B,HDB-CLEMENTI HEIGHTS,CLEMENTI AVENUE 3,20515.3059,32639.3686
8A,,TECK WHYE LANE,19173.324,40313.307
935,HDB-YISHUN,YISHUN CENTRAL 1,28364.7651,45214.6864
417,,YISHUN AVENUE 11,29442.9155,45130.753
337A,,SEMBAWANG CRESCENT,26033.2434,47558.0357
643,,BUKIT BATOK CENTRAL,18952.4889,36789.3252
475,SUNSHINE PLACE,CHOA CHU KANG AVENUE 3,17495.9249,40004.171
478,,TAMPINES STREET 44,41333.1567,38153.5793
363,HDB-HOUGANG,HOUGANG AVENUE 5,35019.4744,39102.2317
51,SIMS VISTA,SIMS DRIVE,33072.658,33174.482
552A,,WOODLANDS DRIVE 44,23786.7374,46018.833
504,,BISHAN STREET 11,29687.8243,36824.2638
48,SIMS VISTA,SIMS PLACE,33132.8112,33336.2839
37A,HDB-QUEENSTOWN,COMMONWEALTH DRIVE,24041.5153,31125.366
514C,,BISHAN STREET 13,29900.2808,36972.7133
38,WHAMPOA GARDENS,JALAN BAHAGIA,30578.3718,34348.0438
181,,LORONG 4 TOA PAYOH,29965.2938,35090.7039
751,,PASIR RIS STREET 71,39179.3909,40026.8571
47,HDB-QUEENSTOWN,STIRLING ROAD,24517.1471,31174.2115
959,,JURONG WEST STREET 92,12130.4968,35960.1579
55,HDB-KALLANG/WHAMPOA,JALAN BAHAGIA,30598.3202,34473.5538
960,,JURONG WEST STREET 92,12204.092,35951.2758
64,HDB-KALLANG/WHAMPOA,JALAN MA'MOR,30730.3711,34527.8877
511,,BISHAN STREET 13,29844.9512,36816.6742
43,WHAMPOA GARDENS,JALAN BAHAGIA,30643.8251,34365.2259
93,,HAVELOCK ROAD,27951.7372,30240.6276
247A,COMPASSVALE HAVEN,COMPASSVALE ROAD,35347.7026,41578.5114
194A,RIVERVALE HAVEN,RIVERVALE DRIVE,35627.8776,41650.553
59,HDB-KALLANG/WHAMPOA,JALAN MA'MOR,30649.4884,34481.1403
118,MEMBINA 118,JALAN MEMBINA,27217.7267,29380.6745
44,HDB-QUEENSTOWN,STIRLING ROAD,24587.7347,31128.7487
324,ANCHORVALE GROVE,SENGKANG EAST WAY,34519.7203,41672.6813
148A,RIVERVALE PLACE,RIVERVALE CRESCENT,36019.7741,41441.0254
18A,DOVER VILLE,DOVER CRESCENT,22395.4386,32247.2298
158,HDB-ANG MO KIO,ANG MO KIO AVENUE 4,28632.0025,39641.7677
77,,CIRCUIT ROAD,33790.5554,34530.613
188,RIVERVALE GATEWAY,RIVERVALE DRIVE,35959.3865,41856.2322
27,MEMBINA COURT,JALAN MEMBINA,27038.5411,29467.3245
632A,,ANG MO KIO AVENUE 4,28908.5536,40162.5836
201G,,TAMPINES STREET 21,41311.1501,37176.509
206A,,ANG MO KIO STREET 22,29120.1869,38679.214
221,LINEAR GREEN @ BEDOK,BEDOK CENTRAL,39337.7825,34154.8861
