X,Y,description,ADDRESSBUILDINGNAME,ADDRESSSTREETNAME
103.7980217,1.302038017,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  88 TANGLIN HALT,"BLK 88 TANGLIN HALT ROAD, #01-10"
103.8719964,1.375634996,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  19 SERANGOON,"19 SERANGOON NORTH AVE 5, #01-01"
103.7252215,1.325468071,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  3 YUAN CHING,"3 YUAN CHING RD, #01-01A/02"
103.7735157,1.431505265,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  301 WOODLANDS,"BLK 301 WOODLANDS ST 31, #01-217"
103.7382928,1.322136358,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  61 TEBAN GARDENS RD,"BLK 61 TEBAN GARDENS RD, #01-21"
103.8415801,1.287082778,"Bin collection; E-waste accepted: Batteries, Lamps",SHENG SIONG @  52 CHIN SWEE,"BLK 52 CHIN SWEE RD, #01-25"
103.8361041,1.310567453,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",ENVIRONMENT BUILDING (MSE/NEA),40 SCOTTS ROAD
103.9151436,1.332552778,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",EUNOS CC,180 BEDOK RESERVOIR ROAD
103.9466027,1.357364788,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TAMPINES NORTH CC,2 TAMPINES STREET 41
103.9476878,1.345813346,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TAMPINES CHANGKAT CC,13 TAMPINES STREET 11
103.8860921,1.357798605,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PAYA LEBAR KOVAN CC,207 HOUGANG STREET 21
103.8739276,1.370054862,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",SERANGOON CC,10 SERANGOON NORTH AVENUE 2
103.8414281,1.381517272,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",YIO CHU KANG CC,50 ANG MO KIO STREET 61
103.8535361,1.363088679,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TECK GHEE CC,ANG MO KIO AVENUE 10
103.8376124,1.373007499,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",KEBUN BARU CC,ANG MO KIO AVENUE 4
103.8406681,1.366833481,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",ANG MO KIO CC,ANG MO KIO AVENUE 1
103.8559236,1.29981639,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",BUGIS JUNCTION TOWERS,230 VICTORIA STREET
103.7431704,1.33320021,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",FAIRPRICE @ JEM,"50 JURONG GATEWAY RD, JEM, #B1-21/22 & #B3-01"
103.7467345,1.334898437,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",IMM,2 JURONG EAST STREET 21
103.7401672,1.333330399,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",CAPITALAND JCUBE,2 JURONG EAST CENTRAL 1
103.7002192,1.339253396,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PIONEER ZONE 9 RN,602 JURONG WEST ST 65
103.7449504,1.385068357,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",LOT ONE SHOPPERS' MALL,21 CHOA CHU KANG AVE 4
103.8415842,1.27616698,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TANJONG PAGAR CC,101 CANTONMENT ROAD
103.8190271,1.264997588,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARBOURFRONT TOWER ONE,1 HARBOURFRONT PLACE
103.8187326,1.262063364,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARBOURFRONT CENTRE,1 MARITIME SQUARE
103.8280048,1.28630853,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",CENTRAL PLAZA,298 TIONG BAHRU ROAD
103.8502045,1.334934517,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TOA PAYOH CENTRAL CC,93 TOA PAYOH CENTRAL
103.859379,1.33489037,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TOA PAYOH SOUTH CC,1999 LORONG 8 TOA PAYOH
103.8547002,1.336274892,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",TOA PAYOH EAST CC,160 LORONG 6 TOA PAYOH
103.8576755,1.294879041,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARVEY NORMAN @ SUNTEC CITY MALL,"3 TEMASEK BOULEVARD, SUNTEC CITY MALL, #01-634"
103.92098,1.323159292,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARVEY NORMAN @ VIVA BUSINESS PARK,"750B CHAI CHEE ROAD #01-01 TO 06, TO 12, #02-02 TO 06 BUSINESS PARK, #01-09"
103.749022,1.35018916,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARVEY NORMAN @ WEST MALL,"1 BUKIT BATOK CENTRAL LINK, WEST MALL, #03-06 TO 09"
103.742586,1.334025287,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",HARVEY NORMAN @ WESTGATE,"3 GATEWAY DRIVE, WESTGATE, #B1-32"
103.8761527,1.302221771,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",MEGADISCOUNTSTORE @ KALLANG LEISURE PARK,"5 STADIUM WALK, KALLANG LEISURE PARK, #01-46-50"
103.8158285,1.285254266,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",BUKIT MERAH CC,4000 JALAN BUKIT MERAH
